"plot_id","trt","sample_origin","Compound_name","length","width","Concentration"
"bx04","b","Conditioning_phase","DIMBOA-Glc",1,2,NA
"bx06","b","Conditioning_phase","DIMBOA-Glc",5,2,NA
"bx05","b","Conditioning_phase","DIMBOA-Glc",3,2,NA
"bx10","b","Conditioning_phase","DIMBOA-Glc",6,3,NA
"bx07","b","Conditioning_phase","DIMBOA-Glc",7,2,NA
"bx09","b","Conditioning_phase","DIMBOA-Glc",4,3,NA
"bx03","b","Conditioning_phase","DIMBOA-Glc",6,1,NA
"bx01","b","Conditioning_phase","DIMBOA-Glc",2,1,NA
"bx08","b","Conditioning_phase","DIMBOA-Glc",2,3,2.624
"bx02","b","Conditioning_phase","DIMBOA-Glc",4,1,NA
"WT02","W","Conditioning_phase","DIMBOA-Glc",5,1,NA
"WT03","W","Conditioning_phase","DIMBOA-Glc",7,1,57.072
"WT08","W","Conditioning_phase","DIMBOA-Glc",3,3,39.688
"WT04","W","Conditioning_phase","DIMBOA-Glc",2,2,16.564
"WT10","W","Conditioning_phase","DIMBOA-Glc",7,3,60.844
"WT01","W","Conditioning_phase","DIMBOA-Glc",3,1,26.568
"WT09","W","Conditioning_phase","DIMBOA-Glc",5,3,65.928
"WT06","W","Conditioning_phase","DIMBOA-Glc",6,2,74.456
"WT07","W","Conditioning_phase","DIMBOA-Glc",1,3,NA
"WT05","W","Conditioning_phase","DIMBOA-Glc",4,2,40.016
"bx04","b","Conditioning_phase","HMBOA",1,2,NA
"bx06","b","Conditioning_phase","HMBOA",5,2,NA
"bx05","b","Conditioning_phase","HMBOA",3,2,NA
"bx10","b","Conditioning_phase","HMBOA",6,3,NA
"bx07","b","Conditioning_phase","HMBOA",7,2,NA
"bx09","b","Conditioning_phase","HMBOA",4,3,NA
"bx03","b","Conditioning_phase","HMBOA",6,1,NA
"bx01","b","Conditioning_phase","HMBOA",2,1,NA
"bx08","b","Conditioning_phase","HMBOA",2,3,NA
"bx02","b","Conditioning_phase","HMBOA",4,1,NA
"WT02","W","Conditioning_phase","HMBOA",5,1,NA
"WT03","W","Conditioning_phase","HMBOA",7,1,268.796
"WT08","W","Conditioning_phase","HMBOA",3,3,87.576
"WT04","W","Conditioning_phase","HMBOA",2,2,59.532
"WT10","W","Conditioning_phase","HMBOA",7,3,138.088
"WT01","W","Conditioning_phase","HMBOA",3,1,86.592
"WT09","W","Conditioning_phase","HMBOA",5,3,212.216
"WT06","W","Conditioning_phase","HMBOA",6,2,179.252
"WT07","W","Conditioning_phase","HMBOA",1,3,52.316
"WT05","W","Conditioning_phase","HMBOA",4,2,115.292
"bx04","b","Conditioning_phase","DIMBOA",1,2,NA
"bx06","b","Conditioning_phase","DIMBOA",5,2,NA
"bx05","b","Conditioning_phase","DIMBOA",3,2,NA
"bx10","b","Conditioning_phase","DIMBOA",6,3,NA
"bx07","b","Conditioning_phase","DIMBOA",7,2,NA
"bx09","b","Conditioning_phase","DIMBOA",4,3,NA
"bx03","b","Conditioning_phase","DIMBOA",6,1,NA
"bx01","b","Conditioning_phase","DIMBOA",2,1,NA
"bx08","b","Conditioning_phase","DIMBOA",2,3,NA
"bx02","b","Conditioning_phase","DIMBOA",4,1,NA
"WT02","W","Conditioning_phase","DIMBOA",5,1,NA
"WT03","W","Conditioning_phase","DIMBOA",7,1,38.868
"WT08","W","Conditioning_phase","DIMBOA",3,3,22.796
"WT04","W","Conditioning_phase","DIMBOA",2,2,7.544
"WT10","W","Conditioning_phase","DIMBOA",7,3,42.64
"WT01","W","Conditioning_phase","DIMBOA",3,1,20.172
"WT09","W","Conditioning_phase","DIMBOA",5,3,43.952
"WT06","W","Conditioning_phase","DIMBOA",6,2,53.792
"WT07","W","Conditioning_phase","DIMBOA",1,3,NA
"WT05","W","Conditioning_phase","DIMBOA",4,2,27.388
"bx04","b","Conditioning_phase","HDMBOA-Glc",1,2,NA
"bx06","b","Conditioning_phase","HDMBOA-Glc",5,2,NA
"bx05","b","Conditioning_phase","HDMBOA-Glc",3,2,NA
"bx10","b","Conditioning_phase","HDMBOA-Glc",6,3,NA
"bx07","b","Conditioning_phase","HDMBOA-Glc",7,2,NA
"bx09","b","Conditioning_phase","HDMBOA-Glc",4,3,NA
"bx03","b","Conditioning_phase","HDMBOA-Glc",6,1,NA
"bx01","b","Conditioning_phase","HDMBOA-Glc",2,1,NA
"bx08","b","Conditioning_phase","HDMBOA-Glc",2,3,NA
"bx02","b","Conditioning_phase","HDMBOA-Glc",4,1,NA
"WT02","W","Conditioning_phase","HDMBOA-Glc",5,1,NA
"WT03","W","Conditioning_phase","HDMBOA-Glc",7,1,85.116
"WT08","W","Conditioning_phase","HDMBOA-Glc",3,3,83.804
"WT04","W","Conditioning_phase","HDMBOA-Glc",2,2,41.82
"WT10","W","Conditioning_phase","HDMBOA-Glc",7,3,146.124
"WT01","W","Conditioning_phase","HDMBOA-Glc",3,1,67.896
"WT09","W","Conditioning_phase","HDMBOA-Glc",5,3,109.552
"WT06","W","Conditioning_phase","HDMBOA-Glc",6,2,121.196
"WT07","W","Conditioning_phase","HDMBOA-Glc",1,3,53.628
"WT05","W","Conditioning_phase","HDMBOA-Glc",4,2,85.772
"bx04","b","Conditioning_phase","MBOA",1,2,NA
"bx06","b","Conditioning_phase","MBOA",5,2,NA
"bx05","b","Conditioning_phase","MBOA",3,2,NA
"bx10","b","Conditioning_phase","MBOA",6,3,NA
"bx07","b","Conditioning_phase","MBOA",7,2,NA
"bx09","b","Conditioning_phase","MBOA",4,3,NA
"bx03","b","Conditioning_phase","MBOA",6,1,NA
"bx01","b","Conditioning_phase","MBOA",2,1,NA
"bx08","b","Conditioning_phase","MBOA",2,3,NA
"bx02","b","Conditioning_phase","MBOA",4,1,NA
"WT02","W","Conditioning_phase","MBOA",5,1,NA
"WT03","W","Conditioning_phase","MBOA",7,1,59.204
"WT08","W","Conditioning_phase","MBOA",3,3,73.144
"WT04","W","Conditioning_phase","MBOA",2,2,46.412
"WT10","W","Conditioning_phase","MBOA",7,3,44.772
"WT01","W","Conditioning_phase","MBOA",3,1,36.9
"WT09","W","Conditioning_phase","MBOA",5,3,66.092
"WT06","W","Conditioning_phase","MBOA",6,2,65.436
"WT07","W","Conditioning_phase","MBOA",1,3,114.636
"WT05","W","Conditioning_phase","MBOA",4,2,46.412
"bx04","b","Conditioning_phase","AMPO",1,2,NA
"bx06","b","Conditioning_phase","AMPO",5,2,NA
"bx05","b","Conditioning_phase","AMPO",3,2,NA
"bx10","b","Conditioning_phase","AMPO",6,3,NA
"bx07","b","Conditioning_phase","AMPO",7,2,NA
"bx09","b","Conditioning_phase","AMPO",4,3,NA
"bx03","b","Conditioning_phase","AMPO",6,1,NA
"bx01","b","Conditioning_phase","AMPO",2,1,NA
