"sample_id","plot_id","trt","length","width","soil","clay","silt","sand","humus","pH","phosphorus_CO2","potassium_CO2","magnesium_CO2","nitrate_H2O","phosphorus_H2O","potassium_H2O","calcium_H2O","magnesium_H2O","iron_H2O","phosphorus_AAE","potassium_AAE","magnesium_AAE","manganese_AAE","boron_AAE","copper_AAE","iron_AAE","iron_HNO3"
"Changins_WT01","WT01","W",3,1,"changins",26,11,62.1,2.5,6.96,5.1,1.2,12.5,11.18,2.93,18.18,56.94,9.63,16.57,22.27,159.4,191,216,0.4,5.7,283,26211.83
"Changins_WT02","WT02","W",5,1,"changins",26,11,62.1,2.5,6.8,4,0.9,14.1,7.99,3.69,15.59,52.69,10.03,19.1,20.32,139.7,213.3,155,0.3,5.8,303,25298.26
"Changins_WT03","WT03","W",7,1,"changins",31,11,56.9,2.5,7.06,4,0.9,14,12.49,2.73,15.3,53.4,9.49,18.08,15.57,130.3,204,144,0.2,5.5,286,24619.79
"Changins_WT04","WT04","W",2,2,"changins",26,11,62.2,2,7.37,7.2,1.8,6.7,16.7,NA,17.57,116,7.98,10.92,61.35,177.7,139.7,356,1.6,6.6,287,24949.21
"Changins_WT05","WT05","W",4,2,"changins",26,11,62.1,2.5,6.75,8.4,1.4,13,6.44,4.72,19.32,56.14,10.18,19.44,31.37,170.9,204.3,280,0.5,5.6,263,24822.77
"Changins_WT06","WT06","W",6,2,"changins",26,11,62.1,2.5,6.87,4.7,1,15,11.08,3.94,15.94,50.67,9.63,18.06,19.62,133.2,215.9,192,0.2,5.1,255,24436.68
"Changins_WT07","WT07","W",1,3,"changins",26,11,62.2,2,7.05,7.7,2,4.7,8.55,3.28,18.25,167.6,6.45,7.283,67.03,191.2,171.1,NA,1.2,5.3,NA,NA
"Changins_WT08","WT08","W",3,3,"changins",26,11,62.2,2,6.55,6.3,2.2,10.3,10.19,2.01,NA,126.8,NA,10.94,37.45,164.5,187.4,391,1.2,6.2,276,24285.87
"Changins_WT09","WT09","W",5,3,"changins",31,11,57.1,2,7.04,6.4,1.2,14,11.2,4.03,15.59,52.56,9.21,15.5,31.49,154.9,200.2,270,0.6,4.9,262,25791.48
"Changins_WT10","WT10","W",7,3,"changins",26,11,62.2,2,6.82,4.6,1.1,13.8,5.74,2.92,16.23,42.34,9.66,20.38,17.88,133.4,197.3,196,0.2,5.1,249,24121.94
"Changins_bx01","bx01","b",2,1,"changins",31,11,57.1,2,7.49,6.4,1.5,10,12.06,3.14,17.67,72.27,9.36,14.89,32.51,163.4,178,243,0.6,5.9,280,24351.06
"Changins_bx02","bx02","b",4,1,"changins",26,11,62.1,2.5,6.72,5.7,1.2,12.4,5.94,4.08,17.15,50.77,9.23,18.13,25.68,158.3,191.5,202,0.3,5.6,294,24492.27
"Changins_bx03","bx03","b",6,1,"changins",26,11,62.1,2.5,6.82,3.8,1,13.8,11.86,2.42,16.63,51.18,9.16,17.63,15.78,132.3,205.8,140,0.2,5.2,258,24298.49
"Changins_bx04","bx04","b",1,2,"changins",26,11,62.1,2.5,7.18,8.8,2.2,6.3,10.79,3.57,19.85,141.1,7.92,11.2,72.36,190.2,147.9,381,1.4,6.3,276,26282.79
"Changins_bx05","bx05","b",3,2,"changins",26,11,62.2,2,7.25,6.7,1.5,11.7,13.9,3.28,18.21,69.22,9.14,15.15,38.47,176.7,174.9,335,0.9,6,282,25949.15
"Changins_bx06","bx06","b",5,2,"changins",31,11,57.1,2,7.29,5.3,1,13.7,11.03,NA,15.65,51.44,9.52,17.49,29.07,143.5,197.1,225,0.5,5.1,260,24682.18
"Changins_bx07","bx07","b",7,2,"changins",26,11,62.2,2,7,4.2,1.1,14.5,13.9,2.93,17.17,55.15,9.68,18.57,21.42,157.9,214.7,185,0.4,5.1,276,23816.37
"Changins_bx08","bx08","b",2,3,"changins",26,11,62.4,1.5,7.31,6.5,1.9,6,19.28,2.8,17.39,150.1,7.36,7.338,60.09,176,146,400,1.8,6,273,26354.07
"Changins_bx09","bx09","b",4,3,"changins",31,11,57.1,2,7.26,8.8,1.8,12.2,13.09,5.47,18.3,78.09,9.75,14.04,46.55,192.9,202.6,346,1.1,5.5,260,24934.12769
"Changins_bx10","bx10","b",6,3,"changins",31,11,57.1,2,7.27,4.6,1,14.1,9.72,2.31,14.66,48.46,9.32,17.98,23.75,149.4,200.5,230,0.4,4.9,263,24796.39
