ubi,plot_id,trt,width,length,SPAD,plant_height
plot29_01,WT10,W,3,7,45.73333333,81.84
plot29_02,bx10,b,3,6,47.46666667,87.6
plot29_03,WT09,W,3,5,45.36666667,86.62
plot29_04,bx09,b,3,4,47.86666667,89.86
plot29_05,WT08,W,3,3,49,88.34
plot29_06,bx08,b,3,2,48.8,88.48
plot29_07,WT07,W,3,1,48.86666667,91.22
plot29_08,bx07,b,2,7,47.9,82.2
plot29_09,WT06,W,2,6,47.46666667,82.98
plot29_10,bx06,b,2,5,49.2,86.96
plot29_11,WT05,W,2,4,48.43333333,86.32
plot29_12,bx05,b,2,3,47.13333333,86.1
plot29_13,WT04,W,2,2,50.93333333,87.46
plot29_14,bx04,b,2,1,49.86666667,87.28
plot29_15,WT03,W,1,7,47.5,78.76
plot29_16,bx03,b,1,6,47.63333333,84.96
plot29_17,WT02,W,1,5,47.76666667,82.6
plot29_18,bx02,b,1,4,48.73333333,85.38
plot29_19,WT01,W,1,3,48.56666667,83.64
plot29_20,bx01,b,1,2,46.9,84.06
