"sample_id","replicate","condition","time_point","time_h","suspension","soil_origin","cond_rep","Compound_name","uM"
"Lo_01A","A","S_DIMBOA",1,0.017,"soil","S","S_DIMBOA_A","DIMBOA_d3",3.720574766
"Lo_01A","A","S_DIMBOA",1,0.017,"soil","S","S_DIMBOA_A","MBOA_d3",9.58718211
"Lo_01A","A","S_DIMBOA",1,0.017,"soil","S","S_DIMBOA_A","AMPO_d3",NA
"BD_01A","A","buffer_DIMBOA",1,0.017,"buffer",NA,"buffer_DIMBOA_A","DIMBOA_d3",160.3581729
"BD_01A","A","buffer_DIMBOA",1,0.017,"buffer",NA,"buffer_DIMBOA_A","MBOA_d3",5.937351219
"BD_01A","A","buffer_DIMBOA",1,0.017,"buffer",NA,"buffer_DIMBOA_A","AMPO_d3",NA
"BC_01A","A","buffer_control",1,0.017,"buffer",NA,"buffer_control_A","DIMBOA_d3",NA
"BC_01A","A","buffer_control",1,0.017,"buffer",NA,"buffer_control_A","MBOA_d3",NA
"BC_01A","A","buffer_control",1,0.017,"buffer",NA,"buffer_control_A","AMPO_d3",NA
"Hi_01B","B","N_DIMBOA",1,0.017,"soil","N","N_DIMBOA_B","DIMBOA_d3",2.724686916
"Hi_01B","B","N_DIMBOA",1,0.017,"soil","N","N_DIMBOA_B","MBOA_d3",20.86426146
"Hi_01B","B","N_DIMBOA",1,0.017,"soil","N","N_DIMBOA_B","AMPO_d3",0.039416327
"Lo_01B","B","S_DIMBOA",1,0.017,"soil","S","S_DIMBOA_B","DIMBOA_d3",6.55885514
"Lo_01B","B","S_DIMBOA",1,0.017,"soil","S","S_DIMBOA_B","MBOA_d3",21.11706951
"Lo_01B","B","S_DIMBOA",1,0.017,"soil","S","S_DIMBOA_B","AMPO_d3",0.031261224
"BD_01B","B","buffer_DIMBOA",1,0.017,"buffer",NA,"buffer_DIMBOA_B","DIMBOA_d3",145.1133084
"BD_01B","B","buffer_DIMBOA",1,0.017,"buffer",NA,"buffer_DIMBOA_B","MBOA_d3",4.762996958
"BD_01B","B","buffer_DIMBOA",1,0.017,"buffer",NA,"buffer_DIMBOA_B","AMPO_d3",NA
"BC_01B","B","buffer_control",1,0.017,"buffer",NA,"buffer_control_B","DIMBOA_d3",NA
"BC_01B","B","buffer_control",1,0.017,"buffer",NA,"buffer_control_B","MBOA_d3",NA
"BC_01B","B","buffer_control",1,0.017,"buffer",NA,"buffer_control_B","AMPO_d3",NA
"Hi_01C","C","N_DIMBOA",1,0.017,"soil","N","N_DIMBOA_C","DIMBOA_d3",1.96221028
"Hi_01C","C","N_DIMBOA",1,0.017,"soil","N","N_DIMBOA_C","MBOA_d3",17.80370826
"Hi_01C","C","N_DIMBOA",1,0.017,"soil","N","N_DIMBOA_C","AMPO_d3",0.036697959
